Lane,Country,Port,Berth,ETB_DAY,ETB_TIME,ETD_DAY,ETD_TIME,LOADING_VOLUME,Discharging_VOLUME,Productivity,Berthing
FE3,BEANR,BEANR,BEANR01,TUE,1400,SAT,0000,0500,0500,40,25
FE6,BEANR,BEANR,BEANR07,TUE,0600,WED,0600,,,,
FE5,BEANR,BEANR,BEANR19,SAT,0600,MON,2200,,,,
FE6,BEANR,BEANR,BEANR19,WED,1000,THU,0600,,,,
EC2,CAHAL,CAHAL,CAHAL02,TUE,0500,TUE,1800,,,,
FP2,CAVAN,CAVAN,CAVAN01,THU,0800,SUN,0800,,,,
PN3,CAVAN,CAVAN,CAVAN01,MON,1600,FRI,1600,,,,
PN1,CAVAN,CAVAN,CAVAN01,TUE,0800,THU,1000,,,,
MD3,CNDLC,CNDLC,CNDLC01,FRI,0600,SAT,0600,,,,
PN1,CNNGB,CNNGB,CNNGB01,MON,1100,TUE,2100,,,,
EC1,CNNGB,CNNGB,CNNGB01,SUN,1200,MON,0300,,,,
PS8,CNNGB,CNNGB,CNNGB01,THU,2200,SUN,1200,,,,
EC4,CNNGB,CNNGB,CNNGB01,THU,0700,FRI,1400,,,,
PS6,CNNGB,CNNGB,CNNGB01,TUE,1400,WED,1400,,,,
MD1,CNNGB,CNNGB,CNNGB01,TUE,2100,WED,1700,,,,
PS3,CNNGB,CNNGB,CNNGB01,WED,2130,FRI,0330,,,,
PN3,CNNGB,CNNGB,CNNGB01,WED,0400,THU,1100,,,,
MS2,CNNGB,CNNGB,CNNGB02,FRI,0500,SAT,1600,,,,
FP2,CNNGB,CNNGB,CNNGB02,MON,0100,MON,2000,,,,
MD2,CNNGB,CNNGB,CNNGB02,SAT,0500,SUN,1600,,,,
FE3,CNNGB,CNNGB,CNNGB02,SUN,2100,WED,1500,,,,
MD5,CNNGB,CNNGB,CNNGB03,FRI,2000,SUN,0800,,,,
MD3,CNNGB,CNNGB,CNNGB03,MON,0800,TUE,2000,,,,
MD4,CNNGB,CNNGB,CNNGB03,MON,1400,TUE,1400,,,,
FE5,CNNGB,CNNGB,CNNGB03,SUN,1000,MON,1000,,,,
FE6,CNNGB,CNNGB,CNNGB03,TUE,2000,THU,0800,,,,
MD5,CNNSA,CNNSA,CNNSA06,MON,0100,MON,1900,,,,
PS3,CNSHA,CNSHA,CNSHA07,SUN,2330,TUE,1330,,,,
FE5,CNSHA,CNSHA,CNSHA12,FRI,0800,SAT,2000,,,,
MD3,CNSHA,CNSHA,CNSHA12,FRI,2100,SAT,2100,,,,
MD5,CNSHA,CNSHA,CNSHA12,FRI,1800,SAT,1800,,,,
FE6,CNSHA,CNSHA,CNSHA12,SAT,2200,SUN,2200,,,,
MD4,CNSHA,CNSHA,CNSHA12,THU,0800,FRI,0800,,,,
MD5,CNSHA,CNSHA,CNSHA12,WED,0700,THU,0700,,,,
PS4,CNSHA,CNSHA,CNSHA19,SAT,2000,SUN,1400,,,,
PN3,CNSHA,CNSHA,CNSHA19,FRI,1300,SUN,0400,,,,
FP2,CNSHA,CNSHA,CNSHA19,FRI,2200,SUN,0700,,,,
FE4,CNSHA,CNSHA,CNSHA19,MON,1700,SAT,1200,,,,
MD1,CNSHA,CNSHA,CNSHA19,MON,0500,TUE,0600,,,,
EC3,CNSHA,CNSHA,CNSHA19,SAT,0200,SAT,2200,,,,
EC4,CNSHA,CNSHA,CNSHA19,SAT,1200,SUN,1300,,,,
PS6,CNSHA,CNSHA,CNSHA19,SUN,1400,MON,1100,,,,
EC1,CNSHA,CNSHA,CNSHA19,THU,1800,SAT,0100,,,,
EC2,CNSHA,CNSHA,CNSHA19,THU,1330,FRI,1930,,,,
MS2,CNSHA,CNSHA,CNSHA19,TUE,1600,THU,0400,,,,
MD2,CNSHA,CNSHA,CNSHA19,WED,0600,THU,1800,,,,
PS7,CNSHK,CNSHK,CNSHK01,SUN,0800,MON,1600,,,,
PS7,CNSHK,CNSHK,CNSHK01,WED,0700,THU,0100,,,,
MD1,CNSHK,CNSHK,CNSHK02,SAT,0000,SAT,1700,,,,
FE6,CNSHK,CNSHK,CNSHK02,SUN,0600,MON,0600,,,,
MD3,CNSHK,CNSHK,CNSHK02,TUE,1700,WED,1700,,,,
MD2,CNSHK,CNSHK,CNSHK03,FRI,1800,SAT,1800,,,,
PS3,CNSHK,CNSHK,CNSHK03,SUN,2030,MON,1630,,,,
MS2,CNSHK,CNSHK,CNSHK03,THU,1800,FRI,1800,,,,
MD1,CNTAO,CNTAO,CNTAO01,TUE,2200,THU,0000,,,,
MD5,CNTAO,CNTAO,CNTAO01,TUE,0000,THU,1600,,,,
FE3,CNTAO,CNTAO,CNTAO02,WED,1700,SAT,0800,,,,
PS8,CNTAO,CNTAO,CNTAO10,MON,2200,WED,1200,,,,
PN3,CNTAO,CNTAO,CNTAO10,SUN,0500,MON,0200,,,,
PS6,CNTAO,CNTAO,CNTAO10,THU,0900,FRI,0500,,,,
FE5,CNTAO,CNTAO,CNTAO10,WED,0600,FRI,0600,,,,
MD3,CNTXG,CNTXG,CNTXG05,SUN,0000,MON,1200,,,,
PS7,CNXMN,CNXMN,CNXMN01,FRI,0700,FRI,2200,,,,
FE6,CNXMN,CNXMN,CNXMN06,TUE,1800,WED,1800,,,,
FE6,CNXMN,CNXMN,CNXMN06,TUE,0600,TUE,2300,,,,
MD3,CNXMN,CNXMN,CNXMN09,MON,1200,TUE,1200,,,,
MD5,CNXMN,CNXMN,CNXMN09,SAT,0600,SUN,0000,,,,
PS3,CNYTN,CNYTN,CNYTN01,FRI,2000,SUN,0200,0300,0500,0800,40
FE5,CNYTN,CNYTN,CNYTN01,FRI,1400,SAT,2000,,,,
FE6,CNYTN,CNYTN,CNYTN01,FRI,0100,SAT,0100,,,,
MS2,CNYTN,CNYTN,CNYTN01,FRI,1300,SAT,2300,,,,
EC1,CNYTN,CNYTN,CNYTN01,MON,1600,TUE,1300,,,,
EC2,CNYTN,CNYTN,CNYTN01,MON,0530,TUE,0230,,,,
MD4,CNYTN,CNYTN,CNYTN01,MON,0500,TUE,0500,,,,
PS4,CNYTN,CNYTN,CNYTN01,SAT,1200,SUN,1100,,,,
FE3,CNYTN,CNYTN,CNYTN01,SAT,2200,TUE,0400,,,,
EC4,CNYTN,CNYTN,CNYTN01,SUN,1400,MON,1400,,,,
FP2,CNYTN,CNYTN,CNYTN01,THU,1500,SAT,0200,,,,
FP2,CNYTN,CNYTN,CNYTN01,THU,1900,FRI,1600,,,,
MD5,CNYTN,CNYTN,CNYTN01,TUE,0600,WED,0600,,,,
FE1,DEHAM,DEHAM,DEHAM01,TUE,0600,WED,2300,,,,
FE4,DEHAM,DEHAM,DEHAM02,SAT,0000,TUE,0600,,,,
FE6,DEHAM,DEHAM,DEHAM02,SUN,1500,MON,1500,,,,
FE5,DEHAM,DEHAM,DEHAM02,THU,2300,SUN,2300,,,,
FE3,DEHAM,DEHAM,DEHAM02,TUE,1400,FRI,1600,,,,
MD1,EGDAM,EGDAM,EGDAM01,FRI,2100,SUN,0900,,,,
MD1,EGDAM,EGDAM,EGDAM01,THU,0400,FRI,0800,,,,
MD1,ESBCN,ESBCN,ESBCN01,THU,0700,SAT,0700,,,,
MD5,ESBCN,ESBCN,ESBCN02,THU,1400,SUN,1400,,,,
MD2,ESBCN,ESBCN,ESBCN02,WED,1800,FRI,1300,,,,
MS2,ESBCN,ESBCN,ESBCN02,WED,1400,FRI,0100,,,,
MD2,ESVLC,ESVLC,ESVLC01,SUN,1900,WED,0000,,,,
MS2,ESVLC,ESVLC,ESVLC01,SUN,2000,TUE,1900,,,,
MD1,ESVLC,ESVLC,ESVLC02,SAT,2000,TUE,0500,,,,
MD5,ESVLC,ESVLC,ESVLC03,MON,2000,WED,2000,,,,
MD2,FRFOS,FRFOS,FRFOS11,SAT,0730,MON,630,,,,
MS2,FRFOS,FRFOS,FRFOS11,SAT,2000,MON,1900,,,,
MD5,FRFOS,FRFOS,FRFOS12,MON,1200,WED,1200,,,,
FE5,FRLEH,FRLEH,FRLEH03,MON,0600,WED,0600,,,,
FE5,FRLEH,FRLEH,FRLEH03,TUE,2200,WED,2200,,,,
FE4,FRLEH,FRLEH,FRLEH06,FRI,1400,SUN,1400,,,,
FE1,FRLEH,FRLEH,FRLEH06,WED,0700,THU,0100,,,,
FE6,GBFXT,GBFXT,GBFXT01,SAT,0700,SUN,1900,,,,
FE6,GBFXT,GBFXT,GBFXT01,THU,1900,SUN,1900,,,,
