proforma_number,port,terminal,etb_day,etb_time,etd_day,etd_time
2824,INNSA,INNSA03,SUN,17:00:00,TUE,09:00:00
2824,INPAV,INPAV01,WED,10:00:00,THU,06:00:00
2824,SGSIN,SGSIN04,FRI,02:00:00,SAT,15:00:00
2824,VNCMP,VNCMP04,MON,19:00:00,TUE,22:00:00
2824,CNYTN,CNYTN01,FRI,20:00:00,SUN,02:00:00
2824,USLAX,USLAX06,TUE,07:00:00,FRI,22:00:00
2824,USOAK,USOAK08,SUN,17:00:00,TUE,12:00:00
2824,JPTYO,JPTYO02,MON,13:00:00,TUE,05:30:00
2824,KRPUS,KRPUS18,FRI,06:30:00,SAT,09:30:00
2824,CNSHA,CNSHA07,SUN,23:30:00,TUE,13:30:00
2824,CNNGB,CNNGB01,WED,21:30:00,FRI,03:30:00
2824,CNSHK,CNSHK03,SUN,20:30:00,MON,16:30:00
2824,SGSIN,SGSIN04,FRI,16:30:00,SAT,12:30:00
2824,MYPKG,MYPKG02,SUN,13:30:00,SUN,20:30:00
2824,INNSA,INNSA03,SUN,17:00:00,,
1409,CNYTN,CNYTN01,SAT,12:00:00,SUN,11:00:00
1409,TWKHH,TWKHH16,MON,14:00:00,TUE,12:00:00
1409,TWKEL,TWKEL04,WED,07:00:00,WED,21:00:00
1409,CNSHA,CNSHA19,SAT,20:00:00,SUN,23:00:00
1409,USLAX,USLAX08,SUN,07:00:00,THU,13:00:00
1409,USOAK,USOAK08,SAT,07:00:00,MON,01:00:00
1409,TWKEL,TWKEL04,TUE,14:00:00,WED,07:00:00
1409,TWKHH,TWKHH16,THU,09:00:00,FRI,10:00:00
1409,CNYTN,CNYTN01,SAT,12:00:00,,
5506,CNTAO,CNTAO10,THU,09:00:00,FRI,05:00:00
5506,CNSHA,CNSHA19,SUN,14:00:00,MON,11:00:00
5506,CNNGB,CNNGB01,TUE,14:00:00,WED,14:00:00
5506,KRKAN,KRKAN02,FRI,14:00:00,SAT,01:00:00
5506,KRPUS,KRPUS12,SAT,12:00:00,MON,03:00:00
5506,USLAX,USLAX03,SAT,17:00:00,SAT,02:00:00
5506,USOAK,USOAK01,SUN,17:00:00,TUE,13:00:00
5506,KRPUS,KRPUS12,FRI,21:00:00,SAT,17:00:00
5506,KRKAN,KRKAN02,SUN,04:00:00,MON,05:00:00
5506,KRINC,KRINC03,TUE,11:00:00,WED,07:00:00
5506,CNTAO,CNTAO10,THU,09:00:00,,
5012,VNHPH,VNHPH07,WED,12:00:00,THU,03:00:00
5012,VNCMP,VNCMP04,SAT,12:00:00,SUN,09:00:00
5012,CNSHK,CNSHK01,WED,07:00:00,THU,01:00:00
5012,CNXMN,CNXMN01,FRI,07:00:00,FRI,22:00:00
