proforma_number,trade,lane,Capacity,Qty
2824,PS,PS3,15000,8
1409,PS,PS4,15000,7
5506,PS,PS6,13253,8
5012,PS,PS7,9000,8
4657,PS,PS8,7500,6
3286,PN,PN1,10000,6
2679,PN,PN3,8800,7
9935,PN,EC1,12000,13
2424,EC,EC2,10000,13
7912,EC,EC3,8800,14
1520,EC,EC4,12500,12
1488,FE,FE1,8200,13
2535,FE,FE3,14000,15
4582,FE,FE4,19300,14
4811,FE,FE5,12500,16
9279,FE,FE6,10000,12
1434,MD,MD1,12000,11
4257,MD,MD2,10000,15
9928,MD,MD3,10000,18
7873,MD,MD4,10000,16
4611,MD,MD5,10000,16
8359,PS-FE,FP2,10000,21
5557,PS-MD,MS2,15000,23
