current_proforma_id,port,terminal,calling_port_indicator,calling_port_seq,etb_day,etb_time,etd_day,etd_time
1,INNSA,INNSA03,1,1,SUN,17:00:00,TUE,9:00:00
1,INPAV,INPAV01,1,2,WED,10:00:00,THU,6:00:00
1,SGSIN,SGSIN04,1,3,FRI,2:00:00,SAT,15:00:00
1,VNCMP,VNCMP04,1,4,MON,19:00:00,TUE,22:00:00
1,CNYTN,CNYTN01,1,5,FRI,20:00:00,SUN,2:00:00
1,USLAX,USLAX06,1,6,TUE,7:00:00,FRI,22:00:00
1,USOAK,USOAK08,1,7,SUN,17:00:00,TUE,12:00:00
1,JPTYO,JPTYO02,1,8,MON,13:00:00,TUE,5:30:00
1,KRPUS,KRPUS18,1,9,FRI,6:30:00,SAT,9:30:00
1,CNSHA,CNSHA07,1,10,SUN,23:30:00,TUE,13:30:00
1,CNNGB,CNNGB01,1,11,WED,21:30:00,FRI,3:30:00
1,CNSHK,CNSHK03,1,12,SUN,20:30:00,MON,16:30:00
1,SGSIN,SGSIN04,1,13,FRI,16:30:00,SAT,12:30:00
1,MYPKG,MYPKG02,1,14,SUN,13:30:00,SUN,20:30:00
1,INNSA,INNSA03,1,15,SUN,17:00:00,,
2,CNYTN,CNYTN01,1,1,SAT,12:00:00,SUN,11:00:00
2,TWKHH,TWKHH16,1,2,MON,14:00:00,TUE,12:00:00
2,TWKEL,TWKEL04,1,3,WED,7:00:00,WED,21:00:00
2,CNSHA,CNSHA19,1,4,SAT,20:00:00,SUN,23:00:00
2,USLAX,USLAX08,1,5,SUN,7:00:00,THU,13:00:00
2,USOAK,USOAK08,1,6,SAT,7:00:00,MON,1:00:00
2,TWKEL,TWKEL04,1,7,TUE,14:00:00,WED,7:00:00
2,TWKHH,TWKHH16,1,8,THU,9:00:00,FRI,10:00:00
2,CNYTN,CNYTN01,1,9,SAT,12:00:00,,
3,CNTAO,CNTAO10,1,1,THU,9:00:00,FRI,5:00:00
3,CNSHA,CNSHA19,1,2,SUN,14:00:00,MON,11:00:00
3,CNNGB,CNNGB01,1,3,TUE,14:00:00,WED,14:00:00
3,KRKAN,KRKAN02,1,4,FRI,14:00:00,SAT,1:00:00
3,KRPUS,KRPUS12,1,5,SAT,12:00:00,MON,3:00:00
3,USLAX,USLAX03,1,6,SAT,17:00:00,SAT,2:00:00
3,USOAK,USOAK01,1,7,SUN,17:00:00,TUE,13:00:00
3,KRPUS,KRPUS12,1,8,FRI,21:00:00,SAT,17:00:00
3,KRKAN,KRKAN02,1,9,SUN,4:00:00,MON,5:00:00
3,KRINC,KRINC03,1,10,TUE,11:00:00,WED,7:00:00
3,CNTAO,CNTAO10,1,11,THU,9:00:00,,
4,VNHPH,VNHPH07,1,1,WED,12:00:00,THU,3:00:00
4,VNCMP,VNCMP04,1,2,SAT,12:00:00,SUN,9:00:00
4,CNSHK,CNSHK01,1,3,WED,7:00:00,THU,1:00:00
4,CNXMN,CNXMN01,1,4,FRI,7:00:00,FRI,22:00:00
4,TWTPE,TWTPE05,1,5,SUN,0,SUN,16:00:00
4,USLAX,USLAX01,1,6,MON,8:00:00,SAT,8:00:00
4,USOAK,USOAK01,1,7,SUN,18:00:00,WED,11:00:00
4,CNSHK,CNSHK01,1,8,SUN,8:00:00,MON,16:00:00
4,VNHPH,VNHPH07,1,9,WED,12:00:00,,
5,CNTAO,CNTAO10,1,1,MON,22:00:00,WED,12:00:00
5,CNNGB,CNNGB01,1,2,THU,22:00:00,SUN,12:00:00
5,USLAX,USLAX01,1,3,SUN,17:00:00,WED,23:00:00
5,USOAK,USOAK08,1,4,SAT,8:00:00,SUN,9:00:00
5,CNTAO,CNTAO10,1,5,MON,22:00:00,,
6,TWKHH,TWKHH14,1,1,FRI,19:00:00,SAT,15:00:00
6,CNNGB,CNNGB01,1,2,MON,11:00:00,TUE,21:00:00
6,JPNGO,JPNGO07,1,3,FRI,22:00:00,SAT,7:00:00
6,JPTYO,JPTYO01,1,4,SUN,8:00:00,SUN,22:00:00
6,USTIW,USTIW02,1,5,THU,17:00:00,SUN,23:00:00
6,CAVAN,CAVAN01,1,6,TUE,8:00:00,THU,1:00:00
6,JPTYO,JPTYO03,1,7,TUE,7:00:00,WED,13:30:00
6,JPUKB,JPUKB03,1,8,FRI,1:00:00,FRI,22:00:00
6,JPNGO,JPNGO01,1,9,SAT,20:30:00,SUN,9:30:00
6,TWKHH,TWKHH14,1,10,FRI,19:00:00,,
7,CNTAO,CNTAO10,1,1,SUN,5:00:00,MON,2:00:00
7,CNNGB,CNNGB01,1,2,WED,4:00:00,THU,11:00:00
7,CNSHA,CNSHA19,1,3,FRI,13:00:00,SUN,4:00:00
7,KRPUS,KRPUS18,1,4,TUE,14:00:00,WED,18:00:00
7,CAVAN,CAVAN01,1,5,MON,16:00:00,FRI,16:00:00
7,USTIW,USTIW02,1,6,SAT,17:00:00,TUE,8:00:00
7,JPTYO,JPTYO03,1,7,SUN,18:00:00,MON,16:30:00
7,JPUKB,JPUKB01,1,8,WED,12:00:00,THU,1:00:00
7,CNTAO,CNTAO10,1,9,SUN,5:00:00,,
8,TWKHH,TWKHH16,1,1,SAT,18:00:00,SUN,12:00:00
8,CNYTN,CNYTN01,1,2,MON,16:00:00,TUE,13:00:00
8,CNSHA,CNSHA19,1,3,THU,18:00:00,SAT,1:00:00
8,CNNGB,CNNGB01,1,4,SUN,12:00:00,MON,3:00:00
8,KRPUS,KRPUS12,1,5,WED,20:00:00,FRI,2:00:00
8,PAPCA,PAPCA10,1,6,WED,22:00:00,THU,14:00:00
8,USNYC,USNYC01,1,7,TUE,20:30:00,THU,23:30:00
8,USSAV,USSAV01,1,8,SUN,30,MON,22:30:00
8,USCHS,USCHS01,1,9,TUE,12:30:00,WED,19:30:00
8,PAPCA,PAPCA10,1,10,SUN,22:00:00,MON,14:00:00
8,PAROD,PAROD01,1,11,MON,18:00:00,TUE,6:00:00
8,TWKHH,TWKHH16,1,12,SAT,18:00:00,,
9,SGSIN,SGSIN04,1,1,SUN,3:00:00,MON,9:00:00
9,VNCMP,VNCMP04,1,2,WED,23:00:00,THU,17:00:00
9,CNYTN,CNYTN01,1,3,MON,5:30:00,TUE,2:30:00
9,CNSHA,CNSHA19,1,4,THU,13:30:00,FRI,19:30:00
9,KRPUS,KRPUS14,1,5,MON,11:00:00,TUE,12:00:00
9,PAPCA,PAPCA10,1,6,MON,22:00:00,TUE,14:00:00
9,PAMIT,PAMIT01,1,7,WED,19:00:00,FRI,5:00:00
